name,years active,player id,position
Alfie Beestin,2016-2020,a02effcc,FW
Mark Beevers,2006-2020,30bea884,DF
Darren Behcet,2019-2020,59d29c86,GK
Amari'i Bell,2013-2020,399e9474,DF
Nyal Bell,2014-2020,2cbbd5ad,FW
Jude Bellingham,2019-2020,57d88cf9,MF
Sam Bellis,2019-2020,598f0ae7,MF
James Belshaw,2018-2020,bfca678d,GK
Dale Bennett,2008-2020,473fb36c,DF
Daniel Bennett,2019-2020,d464c071,FW
Elliott Bennett,2007-2020,02c9ea40,DF
Joe Bennett,2008-2020,dc936144,DF
Kyle Bennett,2010-2020,46b16c2c,MF
Mason Bennett,2011-2020,aba031ad,FW
Rhys Bennett,2011-2020,50c7de8f,DF
Richie Bennett,2015-2020,811b2368,FW
Ryan Bennett,2006-2020,0bad4516,DF
Scot Bennett,2010-2020,911c7cec,MF
Jayden Bennetts,2019-2020,f34aa0ee,MF
Keanen Bennetts,2016-2020,f4c7c708,FW
Malvind Benning,2012-2020,f7722d79,DF
Josh Benson,2017-2020,bf3aeb61,MF
Daniel Bentley,2011-2020,68db6358,GK
Jacob Berkeley-Agyepong,2018-2020,61ece6ec,MF
Kevin Berkoe,2018-2020,887a0c04,DF
Di'Shon Bernard,2018-2020,c21da05c,DF
Cameron Berry,2019-2020,a8e9aa42,DF
James Berry,2019-2020,7d98d54f,MF
Luke Berry,2009-2020,2aaadf33,MF
Ryan Bertrand,2006-2020,1226327,MF
Marcus Bettinelli,2012-2020,0d85a4e8,GK
Jake Bidwell,2009-2020,676b6c9b,MF
Harrison Biggins,2017-2020,a98a15b2,FW
Laurence Bilboe,2016-2020,4caf3255,GK
Billy Bingham,2009-2020,fd084a71,MF
Rakish Bingham,2013-2020,2f74966e,FW
Luis Binks,2018-2020,36e88fbc,DF
Jerome Binnom-Williams,2013-2020,34da23fc,DF
Charlie Birch,2018-2020,0af6e971,DF
Jack Birch,2018-2020,e3d92941,MF
Max Bird,2016-2020,46d27ca0,MF
Colby Bishop,2014-2020,4a7dee3b,FW
Nathan Bishop,2016-2020,bf713136,GK
Neal Bishop,2006-2020,2c7b276d,MF
Teddy Bishop,2014-2020,682f5364,MF
Emma Bissell,2019-2020,517b0772,FW
Paul Blackett,2019-2020,ecfca7e7,FW
Tyler Blackett,2013-2020,a68a5466,DF
Corey Blackett-Taylor,2015-2020,28016827,MF
Andre Blackman,2010-2020,4519be7a,DF
Jamal Blackman,2014-2020,dd26b605,GK
Matty Blair,2010-2020,14455ab7,MF
Sam Blair,2018-2020,819690bc,GK
Matthew Blake,2017-2020,7342d4a7,DF
Frazer Blake-Tracy,2019-2020,d77b812f,DF
Adam Blakeman,2013-2020,6ee98861,DF
Nathan Blissett,2012-2020,827ecad9,FW
Mason Bloomfield,2014-2020,3b6ee244,FW
Matt Bloomfield,2003-2020,a57ae0ee,MF
Hannah Blundell,2016-2020,fe9eaddc,DF
Jacob Blyth,2012-2020,419dfe1f,FW
Missy Bo Kearns,2018-2020,a3ee3804,MF
Denzeil Boadu,2019-2020,95985dcd,MF
Hiram Boateng,2013-2020,929917ce,MF
Scott Boden,2008-2020,36971f53,FW
Jayden Bogle,2016-2020,ae5019e6,DF
Omar Bogle,2015-2020,c334bcfc,FW
Josh Bohui,2016-2020,30ac11e5,FW
Marc Bola,2016-2020,3986000d,DF
Tolaji Bola,2016-2020,c260bdd6,DF
Tom Bolarinwa,2016-2020,a18a6b46,MF
James Bolton,2013-2020,bf6fbdca,DF
Luke Bolton,2016-2020,dadb55bd,FW
Andrew Bond,2008-2020,0a2e8037,DF
Jonathan Bond,2011-2020,c3a86eea,GK
Matthew Bondswell,2018-2020,53ef24c2,DF
Gemma Bonner,2017-2020,488a84df,DF
Jordan Boon,2019-2020,843bb30f,DF
Ryan Boot,2014-2020,42d8ac7e,GK
Sam Booth,2019-2020,d37ae602,GK
Regan Booty,2015-2020,66fe775c,MF
Cameron Borthwick-Jackson,2015-2020,ff61102d,DF
Michael Bostwick,2006-2020,649b0d73,MF
Jay Bothroyd,2000-2020,8cdc5afd,FW
Troy Bourne,2017-2020,4de71c53,DF
Jarrod Bowen,2013-2020,79c84d1c,FW
Jordan Bowery,2008-2020,8f5a4e15,FW
Josh Bowler,2016-2020,ea39a081,MF
Matthew Bowman,2019-2020,53a673d8,FW
Ryan Bowman,2009-2020,89880099,FW
Andrew Boyce,2012-2020,375aaca1,DF
Coniah Boyce-Clarke,2018-2020,94a01643,GK
Chantelle Boye-Hlorkah,2017-2020,c87eb969,FW
Will Boyle,2014-2020,04d98300,DF
Harvey Bradbury,2018-2020,35c3c6b8,FW
Tom Bradbury,2019-2020,3f81701c,DF
Daniel Bradley,2018-2020,ed94fef6,FW
Lewis Bradley,2018-2020,7d89eee9,MF
Sonny Bradley,2011-2020,94ffccb3,DF
