,Player Name,Players ID,Years Active,Position Played
270,Pierre Antoine Mela,b2681ba6,2014-2015,MF
271,Jacques Antoine Pelletier,0ca3c78e,2018-2019,DF
272,Carnejy Antoine,9e3da47c,2019-2020,FW
273,Mathieu Antoine,3b7b5bc0,2017-2018,MF
274,Maud Antoine,4501ec2b,2017-2020,DF
275,Cédric Anton,1d13e13c,2007-2008,DF
276,William Antonini,9b126f68,2017-2018,GK
277,Mauro Antonio Manuel,a2f02ceb,2018-2019,FW
278,Marco Antonio,09fe4b33,2017-2018,DF
279,Fabien Antunes,9e862420,2014-2020,MF
280,Romain Antunes,0781d37a,2019-2020,MF
281,Baptiste Anziani,5ecb9b50,2009-2010,MF
282,Julien Anziani,8d158016,2017-2020,MF
283,Adel Anzimati Aboudou,295ce23d,2018-2019,GK
284,Bilel Aouacheria,77bbc5b1,2017-2020,MF
285,Reda Aouada,9bed62ea,2019-2020,MF
286,Ameur Aouamri,99508210,2019-2020,FW
287,Houssem Aouar,a5db0bec,2016-2020,MF
288,Adil Aouchiche,b94b8be1,2019-2020,MF
289,Oris Aouelie,ac482db2,2017-2018,MF
290,Redouane Aouissi,af419cab,2019-2020,MF
291,Youness Aouladzian,29a06c85,2019-2020,MF
292,Abdel Aourai,d054f551,2018-2019,MF
293,Armando Apollonio,3b6b8332,2019-2020,MF
294,Axel Appery,4268e433,2018-2019,MF
295,Dennis Appiah,feb5d3ab,2011-2020,DF
296,Kévin Appin,8fae705a,2018-2019,MF
297,Fabrice Apruzesse,741f3653,2012-2013,FW
298,Jason Aquiayi,556e9979,2017-2020,MF
299,Clément Aquime,3049fe0a,2018-2019,MF
300,Michel Araai,66c11932,2017-2018,MF
301,Said Arab,b96e3c85,2018-2020,FW
302,Yacine Arar,458c9488,2018-2019,MF
303,Julien Araujo,31d8c7bb,2014-2020,FW
304,Larbi Arbaoui,c76d1d21,2019-2020,DF
305,Arnaud Archimbaud,5f4d96f0,2014-2020,DF
306,Nicolas Ardouin,be679fa0,2004-2009,GK
307,Alexandre Arenate,22d5baa0,2015-2016,MF
308,Rayan Arene,e01da30f,2018-2019,MF
309,Alphonse Areola,2f965a72,2012-2020,GK
310,Thierry Argelier,62e859ab,2009-2020,DF
311,Jérôme Arhancet,68d1b3ab,2018-2019,DF
312,Gaëtan Arib,4fde69e6,2018-2020,MF
313,Guillaume Arisi,f5a07d26,2017-2020,DF
314,Pierre Aristouy 1999-2004 · FW · Nantes,0458fd2b,1999-2004,FW
315,Anthony Arjona,c508bb55,2018-2019,MF
316,Anthony Arlaud,7d347004,2014-2015,FW
317,Joie Armand Bikundwa,5ad4a2c2,2018-2019,DF
318,Romain Armand,c468a6de,2009-2020,FW
319,Sylvain Armand,cfa036c3,2000-2017,DF
320,Zakarya Armaoui,0f67951e,2018-2019,FW
321,Yoël Armougom,9dd5da03,2017-2020,DF
322,Alexis Arnaud,bf6f7c13,2018-2019,MF
323,Loris Arnaud,bf127d46,2007-2015,MF
324,Sébastien Arnaud,90c82ca6,2017-2018,FW
325,Tanguy Arnault,11aae30d,2019-2020,MF
326,Mario Arnel Janvier,af557f6c,2017-2020,FW
327,Inés Arouaissa,c1698c8f,2017-2020,GK
328,"Pegguy Arphexad 1997-2004 · GK · Leicester City, Coventry City, Stockport County, Notts County",611e7e91,1997-2004,GK
329,"Frédéric Arpinon 1999-2003 · MF · Troyes, Hibernian",64ad6336,1999-2003,MF
330,Alexandre Arragon,080b7ddb,2017-2018,MF
331,"Dominique Arribagé 1999-2008 · DF · Rennes, Toulouse",244738ef,1999-2008,DF
332,Laura Arriberouge,692c599e,2017-2018,FW
333,Gilles Arrighino,1ae66226,2019-2020,DF
334,Alvin Arrondel,52bba883,2014-2016,DF
335,Amer Arroum,5259eea2,2017-2020,FW
336,Matthieu Arsac,36be5e45,2017-2018,GK
337,Mehmet Arslan,653d9250,2018-2019,MF
338,Corentin Artaillou,d9aa7463,2018-2019,MF
339,David Artheron,5cc816f3,2019-2020,DF
340,Baptiste Arto,226ba5c2,2017-2018,DF
341,Diego Artu,a4f916f6,2017-2020,MF
342,Gerarld Asaba Tekwa,ea895fae,2018-2019,MF
343,Marwane Asad,22418344,2017-2019,MF
344,Yassine Assakour,1026a977,2019-2020,FW
345,Marvin Assane,c7a6b42a,2019-2020,DF
346,Viviane Asseyi,80d991d9,2017-2020,MF
347,Brahim Assmy,fab2758c,2019-2020,FW
348,Mathieu Assou-Ekotto,7bd169f3,2003-2009,MF
349,Jeffrey Assoumin,c0283005,2018-2020,DF
350,Meidi Astima,8aba2edb,2018-2019,FW
351,Mathieu Astrubal,1979ff08,2017-2020,FW
352,"Ludovic Asuar 1999-2003 · MF · Sedan, Metz",4f85715d,1999-2003,MF
353,Guven Atabey,d4df3525,2017-2018,FW
354,Kévin Atangana Mballa,339cb4de,2018-2019,FW
355,Nigel Atangana,ab07c4b6,2014-2020,MF
356,Sofiane Atik,75e47688,2017-2020,MF
357,Sébastien Atlan,e5199db0,2018-2019,DF
358,Mounir El Atri,2a30cce4,2018-2019,MF
359,Samuel Atrous,5ab9ce40,2012-2020,GK
360,Brian Atta Gyan,a409234b,2019-2020,FW
361,David Attah,5547d66c,2018-2019,DF
