,Player Name,Players ID,Years Active,Position Played
152,"Matías Almeyda 1998-2011 · DF-MF · River Plate, Lazio, Internazionale, Parma, Argentina, Brescia",cea39bc0,1998-2011,MF
153,Cristian Almirón,8633db17,irón 2015,MF
154,Javier Almirón,8b8c57b7,2001-2010,MF
155,Jorge Almirón,2730c92b,2003-2007,MF
156,Sergio Almirón,ce05fadf,2001-2015,MF
157,Santiago Aloi,27cfa16e,2013-2014,MF
158,Alejandro Alonso,52c2dde2,2001-2013,MF
159,Leandro Alonso,c0714b57,2016-2018,FW
160,Facundo Altamirano,84d5fd29,2015-2020,GK
161,Lionel Altamirano,e7125e11,2012-2013,FW
162,Oscar Altamirano,f787ab51,2009-2010,FW
163,Wilson Altamirano,c81221ca,2018-2019,MF
164,Leonel Altobelli,abc4431d,2007-2011,FW
165,Hernán Altolaguirre,8b3426a3,2013-2016,FW
166,Alejandro Altuna,c3bc641d,2018-2019,MF
167,Juan Alvacete,55d260d7,2013-2016,DF
168,Pablo Alvarado,c684d845,2005-2020,DF
169,Fabricio Alvarenga,a38a572a,2015-2018,MF
170,Juan Álvarez Morinigo,c0cd20ee,2017-2020,MF
171,Gastón Álvarez Suárez,23a14e2a,2011-2020,MF
172,Augusto Álvarez,47372291,2012-2015,DF
173,Braian Álvarez,0d4dd1b9,2016-2020,MF
174,Cristian Álvarez,87e89eb4,2005-2020,GK
175,Cristian Álvarez,c7c82f11,2001-2015,MF
176,Diego Álvarez,230954ed,2016-2017,MF
177,Fabio Álvarez,2aae3ff2,2015-2020,MF
178,Federico Álvarez,32a9f0f0,2013-2019,DF
179,Francisco Álvarez,1990d38d,2017-2019,DF
180,Juan Álvarez,4c50934e,2016-2020,MF
181,Julián Álvarez,15ab5a2b,2018-2020,FW
182,Leandro Alvarez,c2180c6c,2010-2014,MF
183,Leonel Álvarez,1fb139b1,2016-2017,MF
184,Lucas Álvarez,e843812e,2017-2018,GK
185,Luciano Álvarez,efb353a4,2003-2009,FW
186,Milton Álvarez,928fc4f0,2018-2020,GK
187,Nicolás Álvarez,3d69079c,2016-2017,DF
188,Pablo Álvarez,1226cc4f,2002-2020,DF
189,Ricky Álvarez,92a5ac34,2007-2020,MF
190,Tomás Álvarez,cb901125,2019-2020,DF
191,Rodrigo Álvez Fonseca,212fc913,2009-2014,MF
192,Lisandro Alzugaray,4f7e4f00,2016-2020,MF
193,Cristian Amarilla,8a864e73,illa 2017,FW
194,José Amarilla,adbd5480,2007-2008,MF
195,"Gabriel Amato 1999-2005 · FW · Levante, Banfield, Betis, Albacete",eb571f57,1999-2005,FW
196,Mauro Amato,6aeb9295,2001-2002,FW
197,Ezequiel Guillermo Jesus Amaya,baf0890b,2001-2006,MF
198,Franco Amaya,7864d719,2001-2002,MF
199,Lucas Ambrogio,b23c405a,2019-2020,FW
200,Horacio Ameli,24ba34eb,2001-2006,DF
201,Ignacio Ameli,93b23b69,meli 2015,DF
202,Nicolás Amerise,a6dec82a,rise 2012,FW
203,Thomas Amilivia,03a092e6,2018-2019,FW
204,Emiliano Amor,3fc6c051,2014-2019,DF
205,Franco Amoroso,30aaf515,2012-2014,MF
206,Joel Amoroso,4b5fff76,2015-2020,MF
207,Sebastián Anchoverri,a6c4b5a3,2016-2018,GK
208,Nicolás Andereggen,3eeb8fa4,2015-2019,FW
209,David Andersen,a81ba301,2016-2019,DF
210,Axel Andrada,e58ed259,2017-2018,DF
211,Brian Andrada,7d4c074a,2015-2016,FW
212,Esteban Andrada,775d365e,2012-2020,GK
213,Federico Andrada,c997824a,2012-2020,FW
214,Juan Andrada,af9d0aea,2016-2020,MF
215,Luca Andrada,6d167659,2019-2020,MF
216,Maximiliano Andrada,36646e83,2015-2016,MF
217,Tomás Andrade,d43c4b3a,2016-2020,MF
218,Walter Andrade,e393180c,2016-2020,DF
219,Ezequiel Andreoli,acff7f66,2006-2008,DF
220,Cristian Andrés Campozano,a001907a,zano 2009,FW
221,Eduardo Andrés Farías,d017ffd9,2007-2008,DF
222,Juan Andrés Gómez 1999-2000 · DF · Real Sociedad,9c65a369,1999-2000,DF
223,Leonardo Andrés Iglesias,4723960a,2006-2010,FW
224,Fernando Andrés Márquez,3fe63f42,2012-2020,FW
225,Daniel Andrés Ríos,820b991d,2006-2010,FW
226,Javier Andres Sanguinetti,2f656d00,2013-2020,MF
227,Martín Andrizzi,20081075,2001-2009,MF
228,Mariano Andújar,609cd867,2002-2020,Oops
229,Miguel Ángel González,5e507dbb,2002-2012,GK
230,Miguel Ángel Martínez,60d4c6f6,2006-2019,MF
